expcode,impcode,trade,tradeALLind,trade1985,tradeChemicals,tradeFood,tradeMachines,tradeMetals,tradeMinerals,tradeOther,tradeTextiles,tradeVehicles,tradeWoodPaper,border,ln_distance,islands,landlock,legalsystem_same,common_lang,colonial,cu,fta,religion_same_recoded,constant
AFGHANISTAN,AFGHANISTAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFGHANISTAN,ALBANIA,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8222203,0,0,0,0,0,0,0,.203565,1
AFGHANISTAN,ALGERIA,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1303759,0,0,1,0,0,0,0,.98406303,1
AFGHANISTAN,ANGOLA,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1752739,0,0,1,0,0,0,0,0,1
AFGHANISTAN,ARGENTINA,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9792247,0,0,1,0,0,0,0,.001986,1
AFGHANISTAN,AUSTRALIA,1,1,1,0,0,0,0,0,0,1,0,0,0,4.5074058,0,0,0,0,0,0,0,.001986,1
AFGHANISTAN,AUSTRIA,1,1,1,1,0,1,1,0,1,1,0,0,0,3.9818847,0,1,0,0,0,0,0,.0059580002,1
AFGHANISTAN,BAHAMAS,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9506817,0,0,0,0,0,0,0,0,1
AFGHANISTAN,BAHRAIN,1,1,0,0,0,0,0,0,0,1,0,0,0,2.7760971,0,0,0,0,0,0,0,.94335002,1
AFGHANISTAN,BANGLADESH,0,0,1,0,0,0,0,0,0,0,0,0,0,3.2798076,0,0,0,0,0,0,0,.85298705,1
AFGHANISTAN,BARBADOS,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8370972,0,0,0,0,0,0,0,.001986,1
AFGHANISTAN,BELGIUM-LUX.,1,1,1,1,0,0,0,0,0,1,0,1,0,4.1518798,0,0,1,0,0,0,0,.010923001,1
AFGHANISTAN,BELIZE,1,1,1,0,1,0,0,0,0,0,0,0,0,5.0405474,0,0,0,0,0,0,0,0,1
AFGHANISTAN,BENIN,0,0,0,0,0,0,0,0,0,0,0,0,0,4.204783,0,0,1,0,0,0,0,.15093601,1
AFGHANISTAN,BERMUDA,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8656225,0,0,0,0,0,0,0,0,1
AFGHANISTAN,BHUTAN,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2614138,0,1,0,0,0,0,0,.049650002,1
AFGHANISTAN,BOLIVIA,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9365144,0,1,1,0,0,0,0,0,1
AFGHANISTAN,BRAZIL,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8478932,0,0,1,0,0,0,0,.00099299999,1
AFGHANISTAN,BRUNEI,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0476518,0,0,0,0,0,0,0,.63750601,1
AFGHANISTAN,BULGARIA,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7191918,0,0,0,0,0,0,0,.10525801,1
